drugName	cui	tty
Methacyclin	drugBank00931	Synonyms
Botulinum neurotoxin type A precursor	drugBank00083	Synonyms
Dynovas	drugBank01113	Brand_Names
Cobex	drugBank00115	Brand_Names
Rasilez	drugBank01258	Brand_Names
Decabid	drugBank00192	Brand_Names
Rhodamine 6g	drugBank03825	Generic_Name
Melfax	drugBank00863	Brand_Names
Metantyl	drugBank00940	Brand_Names
Ramipril	drugBank00178	Generic_Name
Carbamidsaeure-aethylester [german]	drugBank04827	Synonyms
nafcillin	drugBank00607	RxList_Link
MK 996	drugBank00533	Synonyms
Paracaine	drugBank00807	Brand_Names
Meropenin	drugBank00417	Brand_Names
Buforminum [inn-latin]	drugBank04830	Synonyms
Hydrogenobyrinic Acid	drugBank02460	Generic_Name
Soneryl	drugBank01353	Brand_Names
invanz	drugBank00303	RxList_Link
Parfezin	drugBank00392	Brand_Names
Antitussives	drugBank00318	Drug_Category
3'-Deoxy 3'-Amino Adenosine-5'-Diphosphate	drugBank04366	Generic_Name
Lorastine	drugBank00455	Brand_Names
Dioxaphetyl butyrate	drugBank01475	Generic_Name
L-Hyoscine Hydrobromide	drugBank00747	Brand_Names
Priscol	drugBank00797	Brand_Names
Tegopen	drugBank00681	Brand_Names
Cosylan	drugBank00514	Brand_Names
Bcx-1812	drugBank03655	Generic_Name
Laurinsaeure	drugBank03017	Synonyms
Risedronate sodium	drugBank00884	Synonyms
Decaten	drugBank00945	Brand_Names
Nicotil	drugBank00627	Brand_Names
Chloromycetin Hydrocortisone	drugBank00446	Brand_Names
RU82209	drugBank03591	Generic_Name
Lenoxin	drugBank00390	Brand_Names
zemaira	drugBank00058	RxList_Link
Phenoxymethyl Penicillin	drugBank00417	Synonyms
Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester	drugBank01774	Generic_Name
Dexfenfluramine Hydrochloride	drugBank01191	Synonyms
Zofran	drugBank00904	Brand_Names
Nitrazepam	drugBank01595	Generic_Name
Lokalison F	drugBank01234	Brand_Names
Glyphyllin	drugBank00651	Brand_Names
(5z)-5-(1h-Indol-3-Ylmethylene)-4h-Imidazol-4-One	drugBank01653	Generic_Name
Sertofran	drugBank01151	Brand_Names
Cifloxin	drugBank00537	Brand_Names
Oxonate	drugBank03209	Synonyms
Lucelan	drugBank00490	Brand_Names
Oxidized Glutathione Disulfide	drugBank03310	Generic_Name
Gee-Gee	drugBank00874	Brand_Names
Hypocrine	drugBank00644	Brand_Names
Neogluconin	drugBank01016	Brand_Names
Bosentan hydrate	drugBank00559	Synonyms
Acramine Yellow	drugBank02842	Synonyms
N5-Iminoethyl-L-Ornithine	drugBank03305	Generic_Name
Esperal	drugBank00822	Brand_Names
Ciprodar	drugBank00537	Brand_Names
Goldinomycin	drugBank04124	Synonyms
Turinal	drugBank01431	Brand_Names
Hi-alazin	drugBank00525	Brand_Names
Ansiced	drugBank00490	Brand_Names
Theroxidil	drugBank00350	Brand_Names
Juvental	drugBank00335	Brand_Names
Mevastatin	drugBank00175	Brand_Names
Adalat LP	drugBank01115	Brand_Names
Milbol 49	drugBank00431	Brand_Names
Aragest 5	drugBank00603	Brand_Names
Sinafid M-48	drugBank00655	Brand_Names
Prednicen-M	drugBank00635	Brand_Names
Hexitol	drugBank00742	Brand_Names
5-Phosphoribosyl 1-pyrophosphate	drugBank01632	Brand_Names
Menstruation-Inducing Agents	drugBank00834	Drug_Category
Maniton-S	drugBank00742	Brand_Names
Cortisone acetate	drugBank01380	Generic_Name
Crystal Violet Technical	drugBank00406	Brand_Names
Dorsedin	drugBank04833	Brand_Names
Neoxazol	drugBank00263	Brand_Names
Orudis KT	drugBank01009	Brand_Names
Adopol	drugBank00913	Brand_Names
Disulone	drugBank00205	Brand_Names
Sonacon	drugBank00829	Brand_Names
Metharbitalum [INN-Latin]	drugBank00463	Brand_Names
Finacea	drugBank00548	Brand_Names
Nargoline	drugBank00699	Brand_Names
19-norandrostenedione	drugBank01434	Generic_Name
Cepal	drugBank00927	Brand_Names
Metalozone	drugBank00524	Brand_Names
Endiemal	drugBank00463	Brand_Names
DET MS	drugBank00320	Brand_Names
Cyclizine	drugBank01176	Generic_Name
Moxadil	drugBank00543	Brand_Names
Atenomel	drugBank00335	Brand_Names
Sodium bicarbonate in plastic container	drugBank01390	Brand_Names
Furadantine-Mc	drugBank00698	Brand_Names
SB 75	drugBank00050	Synonyms
