termName	cui	tty
Contusion of chest	C0160925	disorder
Metatarsalgia	C0025587	finding
Burns of multiple sites	C0161315	disorder
Recurrent cholangitis	C0267922	disorder
Apnea	C0003578	finding
Postmenopausal osteoporosis	C0029458	disorder
Tardive dyskinesia	C0686347	disorder
Good neonatal condition at birth	C0578757	finding
Leg cramp	C0023218	finding
Pain in upper limb	C0239377	finding
Edema of the upper extremity	C0522035	finding
Inguinal pain	C0239783	finding
Edema of lower extremity	C0239340	finding
Edema of leg	C0235886	finding
Edema of foot	C0574002	finding
Chest wall pain	C0008035	finding
Atypical chest pain	C0262384	finding
Abnormal ECG	C0522055	finding
Sensation of burning of skin	C0241057	finding
Generalized abdominal pain	C0344304	finding
Painful mouth	C0221776	finding
Abnormal urine	C0235639	finding
Age-related cognitive decline	C0236848	finding
High risk sexual behavior	C1261242	finding
Coronary artery bypass with autogenous graft, three grafts	C0190233	procedure
Staring	C0423086	finding
Placement of stent	C0522776	procedure
Palliative care	C0030231	regime/therapy
History and physical examination, immigration	C0686935	procedure
History and physical examination, occupation	C0481846	procedure
Renewal of prescription	C0686936	procedure
Sleep apnea assessment	C0522796	procedure
Crushing injury of finger	C0273445	disorder
Acute bronchitis	C0149514	disorder
Lupus vulgaris	C0024131	disorder
Transesophageal echocardiography	C0206054	procedure
Academic underachievement	C0476587	finding
Donor for liver transplant	C0302512	person
Refusal of treatment by patient	C0040809	situation
Family tension	C0577730	finding
Septicemia	C0036690	disorder
Electrolyte imbalance	C0342579	disorder
Chlamydial infection	C0008149	disorder
Disorder of connective tissue	C0009782	disorder
Disorder of biliary tract	C0005424	disorder
Disorder associated with menstruation AND/OR menopause	C1263764	disorder
Pain in lower limb	C0023222	finding
Allergic state	C0020517	disorder
Benign hypertension	C0264637	disorder
Irritable colon	C0022104	disorder
Small intestine excision	C0192601	procedure
Liver excision	C0019144	procedure
Kidney excision	C0027695	procedure
Urinary bladder excision	C0010651	procedure
Dialysis procedure	C0011946	procedure
Infection of skin	C0037278	disorder
Bronchoscopy	C0006290	procedure
Removal of foreign body	C0184937	procedure
Candidiasis of vulva	C0276683	disorder
Tuberculous adenitis	C0041316	disorder
Cellulitis of periorbital region	C0149754	disorder
Melanoma in situ of skin	C0346040	disorder
Kaposi's sarcoma	C0036220	disorder
Perimembranous ventricular septal defect	C0344925	disorder
Defective dental restoration	C1290739	finding
Severe mixed bipolar I disorder with psychotic features	C0236784	disorder
Hepatoblastoma	C0206624	disorder
Lobular carcinoma in situ of breast	C0279563	disorder
Intraductal carcinoma in situ of breast	C0007124	disorder
Retained placenta	C0242669	disorder
Neoplasm of uncertain behavior of meninges	C0154120	disorder
